kk>NFETgr|nkeng
lo>FSB-HK-NFET|lhensf
lo>FSB-HK-NFFT|lhfnsf
lo>FSB-HK-ÞFET|lheosf
lo>FSB-HK-ÞFFT|lhfosf
lo>FSB-HK-ÞGFET|lheþsf
lo>FSB-HK-ÞGFFT|lhfþsf
lo>FSB-HK-EFET|lheesf
lo>FSB-HK-EFFT|lhfesf
lo>MST-KK-NFET|lkenvm
lo>MST-KK-NFFT|lkfnvm
lo>MST-KK-ÞFET|lkeovm
lo>MST-KK-ÞFFT|lkfovm
lo>MST-KK-ÞGFET|lkeþvm
lo>MST-KK-ÞGFFT|lkfþvm
lo>MST-KK-EFET|lkeevm
lo>MST-KK-EFFT|lkfevm
lo>MST-KVK-NFET|lvenvm
lo>MST-KVK-NFFT|lvfnvm
lo>MST-KVK-ÞFET|lveovm
lo>MST-KVK-ÞFFT|lvfovm
lo>MST-KVK-ÞGFET|lveþvm
lo>MST-KVK-ÞGFFT|lvfþvm
lo>MST-KVK-EFET|lveevm
lo>MST-KVK-EFFT|lvfevm
lo>MST-HK-NFET|lhenvm
lo>MST-HK-NFFT|lhfnvm
lo>MST-HK-ÞFET|lheovm
lo>MST-HK-ÞFFT|lhfovm
lo>MST-HK-ÞGFET|lheþvm
lo>MST-HK-ÞGFFT|lhfþvm
lo>MST-HK-EFET|lheevm
lo>MST-HK-EFFT|lhfevm
lo>EVB-KK-NFET|lkenve
lo>EVB-KK-NFFT|lkfnve
lo>EVB-KK-ÞFET|lkeove
lo>EVB-KK-ÞFFT|lkfove
lo>EVB-KK-ÞGFET|lkeþve
lo>EVB-KK-ÞGFFT|lkfþve
lo>EVB-KK-EFET|lkeeve
lo>EVB-KK-EFFT|lkfeve
lo>EVB-KVK-NFET|lvenve
lo>EVB-KVK-NFFT|lvfnve
lo>EVB-KVK-ÞFET|lveove
lo>EVB-KVK-ÞFFT|lvfove
lo>EVB-KVK-ÞGFET|lveþve
lo>EVB-KVK-ÞGFFT|lvfþve
lo>EVB-KVK-EFET|lveeve
lo>EVB-KVK-EFFT|lvfeve
lo>EVB-HK-NFET|lhenve
lo>EVB-HK-NFFT|lhfnve
lo>EVB-HK-ÞFET|lheove
lo>EVB-HK-ÞFFT|lhfove
lo>EVB-HK-ÞGFET|lheþve
lo>EVB-HK-ÞGFFT|lhfþve
lo>EVB-HK-EFET|lheeve
lo>EVB-HK-EFFT|lhfeve
lo>ESB-KK-NFET|lkense
lo>ESB-KK-NFFT|lkfnse
lo>ESB-KK-ÞFET|lkeose
lo>ESB-KK-ÞFFT|lkfose
lo>ESB-KK-ÞGFET|lkeþse
lo>ESB-KK-ÞGFFT|lkfþse
lo>ESB-KK-EFET|lkeese
lo>ESB-KK-EFFT|lkfese
lo>ESB-KVK-NFET|lvense
lo>ESB-KVK-NFFT|lvfnse
lo>ESB-KVK-ÞFET|lveose
lo>ESB-KVK-ÞFFT|lvfose
lo>ESB-KVK-ÞGFET|lveþse
lo>ESB-KVK-ÞGFFT|lvfþse
lo>ESB-KVK-EFET|lveese
lo>ESB-KVK-EFFT|lvfese
lo>ESB-HK-NFET|lhense
lo>ESB-HK-NFFT|lhfnse
lo>ESB-HK-ÞFET|lheose
lo>ESB-HK-ÞFFT|lhfose
lo>ESB-HK-ÞGFET|lheþse
lo>ESB-HK-ÞGFFT|lhfþse
lo>ESB-HK-EFET|lheese
lo>ESB-HK-EFFT|lhfese
lo>MSTSB-KK-ÞGFFT|lkfþsm
lo>MSTSB-HK-ÞGFET|lheþsm
gr>KK-NFET|gken
gr>KK-NFFT|gkfn
gr>KK-ÞFET|gkeo
gr>KK-ÞFFT|gkfo
gr>KK-ÞGFET|gkeþ
gr>KK-ÞGFFT|gkfþ
gr>KK-EFET|gkee
gr>KK-EFFT|gkfe
gr>KVK-NFET|gven
gr>KVK-NFFT|gvfn
gr>KVK-ÞFET|gveo
gr>KVK-ÞFFT|gvfo
gr>KVK-ÞGFET|gveþ
gr>KVK-ÞGFFT|gvfþ
gr>KVK-EFET|gvee
gr>KVK-EFFT|gvfe
gr>HK-NFET|ghen
gr>HK-NFFT|ghfn
gr>HK-ÞFET|gheo
gr>HK-ÞFFT|ghfo
gr>HK-ÞGFET|gheþ
gr>HK-ÞGFFT|ghfþ
gr>HK-EFET|ghee
gr>HK-EFFT|ghfe
so>GM-BH-ET|sbg2en
so>GM-BH-ST|sbg2en
so>GM-BH-FT|sbg2fn
so>MM-BH-ET|sbm2en
so>MM-BH-FT|sbm2fn
so>LHÞT-VB-KK-NFET|sþgken
so>LHÞT-SB-KK-NFET|sþgken
so>LHÞT-VB-KK-NFFT|sþgkfn
so>LHÞT-SB-KK-NFFT|sþgkfn
so>LHÞT-VB-KK-ÞFET|sþgkeo
so>LHÞT-SB-KK-ÞFET|sþgkeo
so>LHÞT-VB-KK-ÞFFT|sþgkfo
so>LHÞT-SB-KK-ÞFFT|sþgkfo
so>LHÞT-VB-KK-ÞGFET|sþgkeþ
so>LHÞT-SB-KK-ÞGFET|sþgkeþ
so>LHÞT-VB-KK-ÞGFFT|sþgkfþ
so>LHÞT-SB-KK-ÞGFFT|sþgkfþ
so>LHÞT-VB-KK-EFET|sþgkee
so>LHÞT-SB-KK-EFET|sþgkee
so>LHÞT-VB-KK-EFFT|sþgkfe
so>LHÞT-SB-KK-EFFT|sþgkfe
so>LHÞT-VB-KVK-NFET|sþgven
so>LHÞT-SB-KVK-NFET|sþgven
so>LHÞT-VB-KVK-NFFT|sþgvfn
so>LHÞT-SB-KVK-NFFT|sþgvfn
so>LHÞT-VB-KVK-ÞFET|sþgveo
so>LHÞT-SB-KVK-ÞFET|sþgveo
so>LHÞT-VB-KVK-ÞFFT|sþgvfo
so>LHÞT-SB-KVK-ÞFFT|sþgvfo
so>LHÞT-VB-KVK-ÞGFET|sþgveþ
so>LHÞT-SB-KVK-ÞGFET|sþgveþ
so>LHÞT-VB-KVK-ÞGFFT|sþgvfþ
so>LHÞT-SB-KVK-ÞGFFT|sþgvfþ
so>LHÞT-VB-KVK-EFET|sþgvee
so>LHÞT-SB-KVK-EFET|sþgvee
so>LHÞT-VB-KVK-EFFT|sþgvfe
so>LHÞT-SB-KVK-EFFT|sþgvfe
so>LHÞT-VB-HK-NFET|sþghen
so>LHÞT-SB-HK-NFET|sþghen
so>LHÞT-VB-HK-NFFT|sþghfn
so>LHÞT-SB-HK-NFFT|sþghfn
so>LHÞT-VB-HK-ÞFET|sþgheo
so>LHÞT-SB-HK-ÞFET|sþgheo
so>LHÞT-VB-HK-ÞFFT|sþghfo
so>LHÞT-SB-HK-ÞFFT|sþghfo
so>LHÞT-VB-HK-ÞGFET|sþgheþ
so>LHÞT-SB-HK-ÞGFET|sþgheþ
so>LHÞT-VB-HK-ÞGFFT|sþghfþ
so>LHÞT-SB-HK-ÞGFFT|sþghfþ
so>LHÞT-VB-HK-EFET|sþghee
so>LHÞT-SB-HK-EFET|sþghee
so>LHÞT-VB-HK-EFFT|sþghfe
so>LHÞT-SB-HK-EFFT|sþghfe
so>LH-NT|slg
so>GM-NH-ÞT|svg3fþ
so>GM-VH-ÞT-3P-FT|svg3fþ
so>OP-GM-VH-ÞT-3P-FT|svg3fþ
so>GM-NH|sng
so>GM-SAGNB|ssg
so>MM-NH|snm
so>MM-SAGNB|ssm
so>GM-VH-NT-1P-ET|svg1en
so>OP-GM-VH-NT-1P-ET|svg1en
so>GM-OSKH-NT-1P-FT|svg1fn
so>GM-VH-NT-1P-FT|svg1fn
so>OP-GM-VH-NT-1P-FT|svg1fn
so>GM-VH-NT-2P-ET|svg2en
so>OP-GM-VH-NT-2P-ET|svg2en
so>GM-VH-NT-2P-FT|svg2fn
so>OP-GM-VH-NT-2P-FT|svg2fn
so>GM-VH-NT-3P-ET|svg3en
so>OP-GM-VH-NT-3P-ET|svg3en
so>GM-VH-NT-3P-FT|svg3fn
so>OP-GM-VH-NT-3P-FT|svg3fn
so>GM-FH-NT-1P-ET|sfg1en
so>OP-GM-FH-NT-1P-ET|sfg1en
so>GM-FH-NT-1P-FT|sfg1fn
so>OP-GM-FH-NT-1P-FT|sfg1fn
so>GM-FH-NT-2P-ET|sfg2en
so>OP-GM-FH-NT-2P-ET|sfg2en
so>GM-FH-NT-2P-FT|sfg2fn
so>OP-GM-FH-NT-2P-FT|sfg2fn
so>GM-FH-NT-3P-ET|sfg3en
so>OP-GM-FH-NT-3P-ET|sfg3en
so>GM-FH-NT-3P-FT|sfg3fn
so>OP-GM-FH-NT-3P-FT|sfg3fn
so>GM-FH-ÞT-1P-ET|sfg1eþ
so>OP-GM-FH-ÞT-1P-ET|sfg1eþ
so>GM-FH-ÞT-1P-FT|sfg1fþ
so>OP-GM-FH-ÞT-1P-FT|sfg1fþ
so>GM-FH-ÞT-2P-ET|sfg2eþ
so>OP-GM-FH-ÞT-2P-ET|sfg2eþ
so>GM-FH-ÞT-2P-FT|sfg2fþ
so>OP-GM-FH-ÞT-2P-FT|sfg2fþ
so>GM-FH-ÞT-3P-ET|sfg3eþ
so>OP-GM-FH-ÞT-3P-ET|sfg3eþ
so>GM-FH-ÞT-3P-FT|sfg3fþ
so>OP-GM-FH-ÞT-3P-FT|sfg3fþ
so>GM-VH-ÞT-1P-ET|svg1eþ
so>OP-GM-VH-ÞT-1P-ET|svg1eþ
so>GM-VH-ÞT-1P-FT|svg1fþ
so>OP-GM-VH-ÞT-1P-FT|svg1fþ
so>GM-VH-ÞT-2P-ET|svg2eþ
so>OP-GM-VH-ÞT-2P-ET|svg2eþ
so>GM-VH-ÞT-2P-FT|svg2fþ
so>OP-GM-VH-ÞT-2P-FT|svg2fþ
so>GM-VH-ÞT-3P-ET|svg3eþ
so>OP-GM-VH-ÞT-3P-ET|svg3eþ
so>MM-FH-NT-1P-ET|sfm1en
so>OP-MM-FH-NT-1P-ET|sfm1en
so>MM-FH-NT-1P-FT|sfm1fn
so>OP-MM-FH-NT-1P-FT|sfm1fn
so>MM-FH-NT-2P-ET|sfm2en
so>OP-MM-FH-NT-2P-ET|sfm2en
so>MM-FH-NT-2P-FT|sfm2fn
so>OP-MM-FH-NT-2P-FT|sfm2fn
so>MM-FH-NT-3P-ET|sfm3en
so>OP-MM-FH-NT-3P-ET|sfm3en
so>MM-FH-NT-3P-FT|sfm3fn
so>OP-MM-FH-NT-3P-FT|sfm3fn
so>MM-FH-ÞT-1P-ET|sfm1eþ
so>OP-MM-FH-ÞT-1P-ET|sfm1eþ
so>MM-FH-ÞT-1P-FT|sfm1fþ
so>OP-MM-FH-ÞT-1P-FT|sfm1fþ
so>MM-FH-ÞT-2P-ET|sfm2eþ
so>OP-MM-FH-ÞT-2P-ET|sfm2eþ
so>MM-FH-ÞT-2P-FT|sfm2fþ
so>OP-MM-FH-ÞT-2P-FT|sfm2fþ
so>MM-FH-ÞT-3P-ET|sfm3eþ
so>OP-MM-FH-ÞT-3P-ET|sfm3eþ
so>MM-FH-ÞT-3P-FT|sfm3fþ
so>OP-MM-FH-ÞT-3P-FT|sfm3fþ
so>MM-VH-NT-1P-ET|svm1en
so>OP-MM-VH-NT-1P-ET|svm1en
so>MM-VH-NT-1P-FT|svm1fn
so>OP-MM-VH-NT-1P-FT|svm1fn
so>MM-VH-NT-2P-ET|svm2en
so>OP-MM-VH-NT-2P-ET|svm2en
so>MM-VH-NT-2P-FT|svm2fn
so>OP-MM-VH-NT-2P-FT|svm2fn
so>MM-VH-NT-3P-ET|svm3en
so>OP-MM-VH-NT-3P-ET|svm3en
so>MM-VH-NT-3P-FT|svm3fn
so>OP-MM-VH-NT-3P-FT|svm3fn
so>MM-VH-ÞT-1P-ET|svm1eþ
so>OP-MM-VH-ÞT-1P-ET|svm1eþ
so>MM-VH-ÞT-1P-FT|svm1fþ
so>OP-MM-VH-ÞT-1P-FT|svm1fþ
so>MM-VH-ÞT-2P-ET|svm2eþ
so>OP-MM-VH-ÞT-2P-ET|svm2eþ
so>MM-VH-ÞT-2P-FT|svm2fþ
so>OP-MM-VH-ÞT-2P-FT|svm2fþ
so>MM-VH-ÞT-3P-ET|svm3eþ
so>OP-MM-VH-ÞT-3P-ET|svm3eþ
so>MM-VH-ÞT-3P-FT|svm3fþ
so>OP-MM-VH-ÞT-3P-FT|svm3fþ
ao>ao_FST|aa
